season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
1,Main,Nunu,27,96.4,9,18,6,12,6,66.7,1.06,2.67,8.61,3.63,90.17,2.46,9.4,256,,,,,
1,Main,Alistar,25,89.3,12,13,4,8,5,61.5,3.46,2.69,7.38,4.03,114,3.11,9.6,261,,,,,
1,Main,Rumble,23,82.1,21,2,2,2,0,100,3.5,1.5,9,8.33,162,5.02,10.1,311,,,,,
1,Main,Vladimir,22,78.6,14,8,5,3,5,37.5,4.5,3.5,3.88,2.39,224.63,5.99,11.2,298,,,,,
1,Main,Twisted Fate,22,78.6,18,4,2,2,2,50,2,4.5,5.5,1.67,206.5,5.43,11.4,299,,,,,
1,Main,Corki,20,71.4,5,15,8,8,7,53.3,4.67,2.73,4.27,3.27,266.13,7.07,12.6,334,,,,,
1,Main,Jarvan IV,20,71.4,7,13,5,8,5,61.5,2.77,2.77,10,4.61,152.77,3.75,12.5,306,,,,,
1,Main,Vayne,20,71.4,12,8,5,4,4,50,5.75,4.38,5.5,2.57,228.75,6.1,12.1,322,,,,,
1,Main,Janna,19,67.9,1,18,6,10,8,55.6,0.28,2.33,9.5,4.19,25.06,0.63,8.1,204,,,,,
1,Main,Ashe,19,67.9,2,17,8,13,4,76.5,4.29,2.18,7,5.19,244,6.26,13.2,340,,,,,
1,Main,Nidalee,19,67.9,15,4,3,3,1,75,2.5,2,3.5,3,192.25,6.03,9.7,304,,,,,
1,Main,Sona,18,64.3,3,15,6,9,6,60,0.53,1.93,8.53,4.69,17.93,0.47,7.7,203,,,,,
1,Main,Amumu,18,64.3,8,10,6,3,7,30,1.3,4.1,6.7,1.95,114.7,2.94,9.3,240,,,,,
1,Main,Malzahar,16,57.1,,16,6,9,7,56.3,4.19,2.63,5.81,3.81,224.44,6.12,11.4,310,,,,,
1,Main,Warwick,14,50,3,11,7,6,5,54.5,3,2.27,7,4.4,127.82,3.33,9.7,252,,,,,
1,Main,Anivia,14,50,5,9,4,5,4,55.6,4.11,2,5.89,5,225.78,5.98,11.7,310,,,,,
1,Main,Taric,13,46.4,3,10,6,3,7,30,0.8,3.6,6,1.89,22.3,0.59,7.5,199,,,,,
1,Main,Annie,10,35.7,2,8,5,4,4,50,5.25,3.88,7.13,3.19,214.88,5.03,12.3,289,,,,,
1,Main,Karthus,9,32.1,3,6,4,2,4,33.3,2.67,7.17,7.83,1.47,218.83,5.23,11.4,274,,,,,
1,Main,Brand,8,28.6,,8,3,3,5,37.5,3.38,2.75,4.38,2.82,213.25,5.41,10.7,272,,,,,
1,Main,Miss Fortune,8,28.6,,8,4,2,6,25,2.63,2.88,2.75,1.87,249.38,6.64,11.3,302,,,,,
1,Main,Soraka,8,28.6,1,7,5,2,5,28.6,0.29,2.71,8.71,3.32,17.71,0.5,6.2,174,,,,,
1,Main,Gragas,7,25,3,4,3,3,1,75,3.75,1,6.25,10,267,7.08,12.8,339,,,,,
1,Main,Nocturne,7,25,3,4,3,2,2,50,3.25,2.75,7.25,3.82,159.5,3.51,12,264,,,,,
1,Main,Irelia,7,25,3,4,2,1,3,25,5.5,3.25,6,3.54,262.25,5.69,14.1,306,,,,,
1,Main,Zilean,7,25,5,2,2,1,1,50,5,1.5,8,8.67,208.5,5.01,12.4,299,,,,,
1,Main,Akali,7,25,6,1,1,1,0,100,7,4,7,3.5,168,4.54,11.1,300,,,,,
1,Main,Singed,6,21.4,2,4,2,2,2,50,3.5,2.25,8.75,5.44,251.25,6.15,13.2,322,,,,,
1,Main,Swain,5,17.9,,5,4,2,3,40,2.4,3,4.8,2.4,186.2,5.29,9.3,266,,,,,
1,Main,Caitlyn,4,14.3,,4,3,0,4,0,0.5,3.75,1.25,0.47,220.75,6.96,8.3,261,,,,,
1,Main,Cho'Gath,3,10.7,,3,3,1,2,33.3,1.33,1.67,2.33,2.2,209.33,6.27,9.6,289,,,,,
1,Main,Tristana,3,10.7,,3,2,1,2,33.3,5.67,4.33,0.67,1.46,221.67,6.52,10.9,320,,,,,
1,Main,Trundle,3,10.7,,3,3,0,3,0,0.67,3.33,2,0.8,81,2.76,5.7,194,,,,,
1,Main,Mordekaiser,3,10.7,2,1,1,1,0,100,3,0,9,12,324,8.6,14.3,379,,,,,
1,Main,Lee Sin,2,7.1,,2,2,1,1,50,3,5,4,1.4,197,5.47,10.1,279,,,,,
1,Main,Teemo,2,7.1,,2,1,1,1,50,9,3,6.5,5.17,273.5,5.9,16.9,363,,,,,
1,Main,Gangplank,1,3.6,,1,1,1,0,100,3,0,10,13,120,4.15,9.1,315,,,,,
